                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.85027,                 3.9087,                 1.1704,                0.00356,                    0.4,                0.00424,                0.00096,                 1.0142,                 4.4558,                 1.4242,              3.334e-05,              3.334e-05,              3.334e-05
                      1,                 0.8447,                 3.8327,                 1.1408,                0.68845,                   0.85,                0.87941,                0.74161,                0.66979,                  4.323,                 1.0044,               8.17e-05,               8.17e-05,               8.17e-05
                      2,                0.85364,                 1.6119,                  1.112,                0.46153,                  0.791,                 0.6499,                0.47575,                 0.6875,                 8.2547,                 1.0051,             0.00012808,             0.00012808,             0.00012808
                      3,                0.91455,                 2.0756,                 1.1099,                0.44444,                    0.4,                0.40105,                0.32756,                0.87159,                 19.273,                  1.111,             0.00017248,             0.00017248,             0.00017248
                      4,                0.81378,                 1.0678,                  1.032,                0.20739,                   0.85,                0.33438,                0.20954,                0.90525,                 21.863,                 1.4244,              0.0002149,              0.0002149,              0.0002149
                      5,                0.85408,                0.87978,                 1.0546,                0.60392,                   0.85,                0.76639,                0.41807,                 1.3807,                 6.9728,                 2.2664,             0.00025533,             0.00025533,             0.00025533
                      6,                0.78489,                0.79256,                 1.0237,                0.51457,                0.89944,                0.62429,                0.42771,                 1.1526,                 20.027,                 1.4468,             0.00029379,             0.00029379,             0.00029379
                      7,                0.82437,                0.81567,                 1.0439,                0.08199,                    0.9,                0.08566,                  0.057,                 1.0067,                 87.554,                 1.3792,             0.00033027,             0.00033027,             0.00033027
                      8,                0.77244,                 0.7812,                 1.0192,                0.44905,                   0.95,                0.50523,                0.36686,                 1.0396,                 30.624,                  1.765,             0.00036477,             0.00036477,             0.00036477
                      9,                0.84263,                0.97904,                 1.0905,                0.43704,                   0.95,                 0.5945,                0.46351,                0.86747,                 19.901,                 1.3509,             0.00039728,             0.00039728,             0.00039728
                     10,                0.78466,                0.80093,                 1.0786,                0.51107,                0.79987,                0.36666,                0.24917,                 1.5488,                 161.22,                 2.3599,             0.00042782,             0.00042782,             0.00042782
                     11,                0.90359,                0.88808,                 1.0721,                0.50057,                    0.9,                0.50273,                0.34602,                 1.3861,                 115.08,                 2.8283,             0.00045637,             0.00045637,             0.00045637
                     12,                 0.8379,                 0.7099,                 1.0525,                0.50653,                0.84572,                0.39467,                0.27053,                 1.8009,                    inf,                 15.481,             0.00048295,             0.00048295,             0.00048295
                     13,                0.93563,                0.86937,                 1.1234,                0.21121,                0.66406,                0.18525,                0.11376,                 2.1307,                    inf,                 88.318,             0.00050754,             0.00050754,             0.00050754
                     14,                0.93697,                0.85942,                 1.0649,                 0.5019,                   0.35,                0.00391,                0.00097,                 3.3524,                    inf,                 216.32,             0.00053016,             0.00053016,             0.00053016
                     15,                0.89752,                0.70974,                 1.0017,                0.00245,                    0.4,                0.00383,                0.00123,                 2.9744,                    inf,                 59.502,             0.00055079,             0.00055079,             0.00055079
                     16,                0.84624,                0.61801,                 1.0414,                0.00806,                   0.55,                0.00804,                0.00286,                 2.7433,                    inf,                  7.559,             0.00056945,             0.00056945,             0.00056945
                     17,                 0.7958,                0.62555,                 1.0112,                0.00442,                    0.3,                0.00408,                0.00149,                 2.9641,                    inf,                 91.904,             0.00058612,             0.00058612,             0.00058612
                     18,                0.81239,                0.66573,                 1.0922,                0.00059,                   0.05,                0.00033,                  3e-05,                 3.8084,                    inf,                  227.8,             0.00060081,             0.00060081,             0.00060081
                     19,                0.80059,                0.65713,                 1.0663,                0.00075,                   0.05,                0.00041,                0.00033,                    nan,                    nan,                    nan,             0.00061353,             0.00061353,             0.00061353
                     20,                 0.7761,                 0.6142,                0.99098,                 0.0026,                   0.15,                0.00715,                0.00115,                 3.7727,                    inf,                 35.078,             0.00062426,             0.00062426,             0.00062426
                     21,                0.73492,                0.63124,                0.99907,                0.00287,                   0.15,                0.00184,                 0.0006,                 3.3772,                 776.85,                 32.581,             0.00063301,             0.00063301,             0.00063301
                     22,                0.69166,                0.60759,                 1.0188,                0.50869,                    0.1,                 0.0027,                0.00073,                 3.0589,                 459.26,                 23.084,             0.00063978,             0.00063978,             0.00063978
                     23,                0.78459,                0.55062,                 1.0038,                0.00647,                    0.1,                0.00325,                0.00047,                 4.9341,                 4441.2,                 33.465,             0.00064457,             0.00064457,             0.00064457
                     24,                0.70456,                0.59214,                0.97969,                0.47979,                   0.25,                0.08908,                0.05149,                 2.7894,                 7.3306,                 3.5875,             0.00064738,             0.00064738,             0.00064738
                     25,                0.67516,                0.47897,                0.99062,                0.67649,                    0.2,                0.20854,                0.05528,                 2.4506,                 5.6339,                 3.5184,             0.00064821,             0.00064821,             0.00064821
                     26,                0.74478,                0.54015,                 1.0309,                0.56584,                   0.55,                0.49832,                0.30301,                 1.7622,                 3.9019,                 2.1033,             0.00064706,             0.00064706,             0.00064706
                     27,                0.73448,                0.52521,                0.99791,                0.60787,                    0.9,                0.77491,                0.40966,                 1.4273,                 4.1907,                 2.2178,             0.00064393,             0.00064393,             0.00064393
                     28,                0.64703,                0.45482,                0.95837,                0.60787,                    0.9,                0.77491,                0.40966,                 1.4273,                 4.1907,                 2.2178,             0.00063882,             0.00063882,             0.00063882
                     29,                 0.6753,                0.49815,                0.99634,                0.60298,                0.84188,                0.67136,                 0.4302,                  1.289,                 4.5343,                 1.7706,             0.00063173,             0.00063173,             0.00063173
                     30,                 0.7522,                0.52409,                0.99199,                0.62654,                    0.8,                0.71005,                0.54976,                0.95132,                 2.3765,                 1.3981,             0.00062266,             0.00062266,             0.00062266
                     31,                0.77768,                0.50673,                0.99202,                0.55406,                    0.8,                0.54114,                0.40669,                 1.0023,                 3.5004,                 1.3111,             0.00061161,             0.00061161,             0.00061161
                     32,                0.73929,                0.52364,                0.98656,                0.55406,                    0.8,                0.54114,                0.40669,                 1.0023,                 3.5004,                 1.3111,             0.00059857,             0.00059857,             0.00059857
                     33,                0.70881,                0.49947,                0.99561,                0.50306,                   0.65,                0.41707,                  0.288,                 1.1943,                 27.864,                  1.392,             0.00057778,             0.00057778,             0.00057778
                     34,                0.74135,                0.54166,                  1.005,                0.50078,                0.44649,                0.47907,                0.28831,                 1.9851,                 75.919,                 2.1211,             0.00057778,             0.00057778,             0.00057778
                     35,                0.71851,                0.51643,                0.98986,                0.50212,                0.49086,                 0.4331,                0.27744,                 1.8751,                 134.12,                 2.1305,             0.00054478,             0.00054478,             0.00054478
                     36,                0.71335,                0.50512,                0.98253,                0.50212,                0.49086,                 0.4331,                0.27744,                 1.8751,                 134.12,                 2.1305,             0.00051177,             0.00051177,             0.00051177
                     37,                0.74772,                0.56388,                 1.0232,                0.45383,                    0.9,                0.45532,                0.28934,                 1.1595,                 28.745,                  1.477,             0.00047876,             0.00047876,             0.00047876
                     38,                0.70822,                0.48701,                0.95115,                 0.5087,                   0.95,                0.79479,                0.58104,                0.88681,                 5.4952,                 1.2316,             0.00044576,             0.00044576,             0.00044576
                     39,                0.69649,                0.48215,                0.97747,                0.76295,                0.80743,                0.92237,                0.67444,                0.92396,                 1.5648,                 1.2223,             0.00041275,             0.00041275,             0.00041275
                     40,                0.71865,                0.58725,                0.98226,                0.76295,                0.80743,                0.92237,                0.67444,                0.92396,                 1.5648,                 1.2223,             0.00037974,             0.00037974,             0.00037974
                     41,                0.68777,                0.53469,                0.98625,                0.87886,                0.95558,                0.98346,                0.75216,                0.92885,                 1.1956,                 1.1802,             0.00034674,             0.00034674,             0.00034674
                     42,                0.66669,                0.47783,                 0.9759,                0.99298,                0.95333,                  0.995,                0.80507,                0.77331,                0.81481,                 1.0952,             0.00031373,             0.00031373,             0.00031373
                     43,                0.65039,                0.43825,                0.94126,                0.99294,                0.95311,                  0.995,                0.80712,                0.75256,                 0.6901,                 1.0703,             0.00028072,             0.00028072,             0.00028072
                     44,                0.60702,                0.44371,                0.91462,                0.99294,                0.95311,                  0.995,                0.80712,                0.75256,                 0.6901,                 1.0703,             0.00024772,             0.00024772,             0.00024772
                     45,                0.62955,                0.48021,                0.98171,                0.98828,                0.95303,                  0.995,                0.83155,                0.69603,                0.57524,                 1.0418,             0.00021471,             0.00021471,             0.00021471
                     46,                 0.6698,                0.53591,                0.99023,                0.99163,                   0.95,                0.99045,                0.83741,                0.65982,                0.49629,                 1.0299,              0.0001817,              0.0001817,              0.0001817
                     47,                0.56701,                0.41082,                0.94661,                0.99557,                   0.95,                0.99045,                0.82148,                0.66444,                0.47031,                 1.0291,              0.0001487,              0.0001487,              0.0001487
                     48,                0.58528,                 0.3852,                 0.9575,                0.99557,                   0.95,                0.99045,                0.82148,                0.66444,                0.47031,                 1.0291,             0.00011569,             0.00011569,             0.00011569
                     49,                0.59569,                0.40413,                0.96149,                0.99555,                0.94863,                0.99045,                0.81078,                 0.6933,                0.48215,                 1.0395,             8.2683e-05,             8.2683e-05,             8.2683e-05
